OID,OBJECTID,label,altname,name,code,centroid_x,centroid_y,ORIG_FID,MBG_Diamet,Shape_Leng,Shape_Area,radius
0,1,E09000020, ,Kensington and Chelsea,E09000020,-0.190629005,51.5007019,0,7467.542369,23459.97625,43797091.65,3733.77002
1,2,E09000013, ,Hammersmith and Fulham,E09000013,-0.219203994,51.49449921,1,8571.374652,26927.76764,57701996.24,4285.689941
2,3,E09000005, ,Brent,E09000005,-0.266241997,51.55810165,2,10664.67082,33504.05151,89327420.17,5332.339844
3,4,E09000016, ,Havering,E09000016,0.222064003,51.56259918,3,17373.21075,54579.55126,237055511.7,8686.610352
4,5,E09000029, ,Sutton,E09000029,-0.175993994,51.36149979,4,9957.679989,31282.9743,77876461.8,4978.839844
5,6,E09000010, ,Enfield,E09000010,-0.085666299,51.65050125,5,12930.46479,40622.25319,131316153.6,6465.22998
6,7,E09000008, ,Croydon,E09000008,-0.085558698,51.35480118,6,15404.62182,48395.04674,186376848.2,7702.310059
7,8,E09000021, ,Kingston upon Thames,E09000021,-0.285326004,51.38740158,7,13362.86443,41980.67673,140245523,6681.430176
8,9,E09000015, ,Harrow,E09000015,-0.339682996,51.59719849,8,10568.97805,33203.42379,87731564.27,5284.490234
9,10,E09000032, ,Wandsworth,E09000032,-0.184605002,51.45149994,9,10435.63328,32784.50885,85531777.9,5217.819824
10,11,E09000018, ,Hounslow,E09000018,-0.364565015,51.4679985,10,16163.3928,50778.79607,205189406.6,8081.700195
11,12,E09000014, ,Haringey,E09000014,-0.105878003,51.58990097,11,9725.296712,30552.9207,74284054.81,4862.649902
12,13,E09000025, ,Newham,E09000025,0.039185401,51.52629852,12,9354.311815,29387.43728,68724812.93,4677.160156
13,14,E09000007, ,Camden,E09000007,-0.155812994,51.54589844,13,8534.501804,26811.92817,57206612.33,4267.25
14,15,E09000031, ,Waltham Forest,E09000031,-0.0110249,51.59349823,14,10747.84822,33765.36101,90726243.82,5373.919922
15,16,E09000012, ,Hackney,E09000012,-0.061718199,51.55179977,15,6988.098197,21953.75796,38353754.1,3494.050049
16,17,E09000026, ,Redbridge,E09000026,0.077492997,51.58520126,16,11136.18054,34985.34298,97400773.92,5568.089844
17,18,E09000017, ,Hillingdon,E09000017,-0.444088995,51.54100037,17,20187.17375,63419.87676,320067017.9,10093.59961
18,19,E09000030, ,Tower Hamlets,E09000030,-0.033037201,51.51520157,18,7055.821433,22166.51678,39100746.05,3527.909912
19,20,E09000001, ,City of London,E09000001,-0.090804197,51.51390076,19,2988.859366,9389.778628,7016181.95,1494.430054
20,21,E09000019, ,Islington,E09000019,-0.10864,51.54800034,20,6861.733385,21556.77119,36979204.15,3430.870117
21,22,E09000002, ,Barking and Dagenham,E09000002,0.134829,51.54339981,21,10408.2757,32698.56246,85083913.24,5204.140137
22,23,E09000006, ,Bromley,E09000006,0.053151298,51.37149811,22,19024.44777,59767.06535,284258853.3,9512.219727
23,24,E09000027, ,Richmond upon Thames,E09000027,-0.310752988,51.44219971,23,14041.27502,44111.96645,154847063.1,7020.640137
24,25,E09000004, ,Bexley,E09000004,0.144004002,51.46039963,24,12040.39995,37826.03202,113860138.5,6020.200195
25,26,E09000003, ,Barnet,E09000003,-0.208417997,51.6155014,25,13111.75251,41191.78536,135024123.8,6555.879883
26,27,E09000024, ,Merton,E09000024,-0.195673004,51.40940094,26,9726.985858,30558.22731,74309861.23,4863.490234
27,28,E09000023, ,Lewisham,E09000023,-0.0186937,51.44779968,27,9780.598748,30726.65717,75131276.17,4890.299805
28,29,E09000009, ,Ealing,E09000009,-0.329450011,51.52199936,28,12695.39292,39883.75312,126584979.2,6347.700195
29,30,E09000033, ,Westminster,E09000033,-0.158849999,51.51290131,29,7874.122784,24737.28629,48696107.4,3937.060059
30,31,E09000011, ,Greenwich,E09000011,0.0571943,51.47389984,30,11761.47669,36949.76877,108645961,5880.740234
31,32,E09000028, ,Southwark,E09000028,-0.072442703,51.47370148,31,10512.10165,33024.74133,86789859.49,5256.049805
32,33,E09000022, ,Lambeth,E09000022,-0.116715997,51.45330048,32,11142.44116,35005.0113,97510319.72,5571.220215
